Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.000,0,0.287,0.287
2,1,0.043,0,21.380,21.380
2,2,0.043,0,43.023,21.511
4,1,0.130,0,32.539,32.539
4,2,0.042,0,21.120,10.560
4,4,0.043,0,42.702,10.675
8,1,0.302,0,37.797,37.797
8,2,0.130,0,32.369,16.184
8,4,0.043,0,21.488,5.372
8,8,0.043,0,43.277,5.410
16,1,0.649,0,40.597,40.597
16,2,0.302,0,37.760,18.880
16,4,0.130,0,32.462,8.115
16,8,0.042,0,21.225,2.653
16,16,0.043,0,42.861,2.679
32,1,1.342,0,41.943,41.943
32,2,0.649,0,40.582,20.291
32,4,0.301,0,37.693,9.423
32,8,0.128,0,32.135,4.017
32,16,0.045,0,22.598,1.412
32,32,0.043,0,42.868,1.340
64,1,2.730,0,42.664,42.664
64,2,1.342,0,41.934,20.967
64,4,0.648,0,40.527,10.132
64,8,0.302,0,37.710,4.714
64,16,0.145,0,36.185,2.261
64,32,0.047,0,23.286,0.728
64,64,0.047,0,47.091,0.736
128,1,5.503,0,42.993,42.993
128,2,2.729,0,42.643,21.321
128,4,1.342,0,41.943,10.486
128,8,0.649,0,40.570,5.071
128,16,0.303,0,37.825,2.364
128,32,0.160,0,40.108,1.253
128,64,0.048,0,23.856,0.373
128,128,0.045,0,44.989,0.351
256,1,11.063,0,43.215,43.215
256,2,5.507,0,43.024,21.512
256,4,2.735,0,42.732,10.683
256,8,1.347,0,42.101,5.263
256,16,0.652,0,40.720,2.545
256,32,0.306,0,38.283,1.196
256,64,0.138,0,34.630,0.541
256,128,0.052,0,26.120,0.204
256,256,0.046,0,45.739,0.179
