Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.001,0,1.414,1.414
2,1,0.043,0,21.456,21.456
2,2,0.044,0,44.047,22.024
4,1,0.131,0,32.712,32.712
4,2,0.047,0,23.569,11.785
4,4,0.044,0,43.895,10.974
8,1,0.307,0,38.351,38.351
8,2,0.133,0,33.261,16.631
8,4,0.046,0,22.611,5.653
8,8,0.043,0,43.453,5.431
16,1,0.659,0,41.222,41.222
16,2,0.309,0,38.657,19.328
16,4,0.135,0,33.574,8.393
16,8,0.049,0,24.290,3.037
16,16,0.044,0,43.779,2.736
32,1,1.365,0,42.642,42.642
32,2,0.662,0,41.352,20.676
32,4,0.311,0,38.804,9.701
32,8,0.140,0,35.045,4.381
32,16,0.055,0,27.649,1.728
32,32,0.050,0,49.583,1.550
64,1,2.771,0,43.294,43.294
64,2,1.366,0,42.678,21.339
64,4,0.663,0,41.409,10.352
64,8,0.316,0,39.444,4.931
64,16,0.145,0,36.390,2.275
64,32,0.065,0,32.379,1.012
64,64,0.052,0,52.182,0.815
128,1,5.587,0,43.651,43.651
128,2,2.774,0,43.349,21.675
128,4,1.367,0,42.726,10.681
128,8,0.665,0,41.582,5.198
128,16,0.325,0,40.630,2.539
128,32,0.158,0,39.630,1.238
128,64,0.088,0,43.819,0.685
128,128,0.058,0,57.847,0.452
256,1,11.220,0,43.828,43.828
256,2,5.590,0,43.674,21.837
256,4,2.775,0,43.362,10.840
256,8,1.371,0,42.839,5.355
256,16,0.676,0,42.285,2.643
256,32,0.337,0,42.105,1.316
256,64,0.165,0,41.199,0.644
256,128,0.093,0,46.462,0.363
256,256,0.072,0,72.083,0.282
512,1,22.487,0,43.920,43.920
512,2,11.220,0,43.829,21.915
512,4,5.595,0,43.713,10.928
512,8,2.780,0,43.442,5.430
512,16,1.379,0,43.104,2.694
512,32,0.689,0,43.071,1.346
512,64,0.354,0,44.264,0.692
512,128,0.199,0,49.752,0.389
512,256,0.147,0,73.718,0.288
512,512,0.148,0,148.449,0.290
1024,1,45.026,0,43.971,43.971
1024,2,22.489,0,43.925,21.962
1024,4,11.223,0,43.841,10.960
1024,8,5.598,0,43.731,5.466
1024,16,2.789,0,43.580,2.724
1024,32,1.396,0,43.634,1.363
1024,64,0.701,0,43.811,0.685
1024,128,0.361,0,45.135,0.352
1024,256,0.240,0,59.927,0.234
1024,512,0.265,0,132.762,0.259
1024,1024,0.000,0,0.000,0.000
