Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.002,0,1.536,1.536
2,1,0.002,0,0.893,0.893
2,2,0.001,0,1.215,0.607
4,1,0.002,0,0.460,0.460
4,2,0.002,0,0.757,0.378
4,4,0.002,0,1.652,0.413
8,1,0.003,0,0.424,0.424
8,2,0.002,0,0.603,0.302
8,4,0.003,0,1.295,0.324
8,8,0.003,0,2.942,0.368
16,1,0.007,0,0.403,0.403
16,2,0.004,0,0.519,0.260
16,4,0.004,0,1.084,0.271
16,8,0.005,0,2.353,0.294
16,16,0.007,0,7.543,0.471
32,1,0.012,0,0.388,0.388
32,2,0.008,0,0.476,0.238
32,4,0.008,0,0.960,0.240
32,8,0.008,0,2.046,0.256
32,16,0.009,0,4.387,0.274
32,32,0.010,0,9.980,0.312
64,1,0.025,0,0.385,0.385
64,2,0.015,0,0.459,0.229
64,4,0.015,0,0.916,0.229
64,8,0.015,0,1.898,0.237
64,16,0.016,0,3.919,0.245
64,32,0.017,0,8.425,0.263
64,64,0.019,0,19.201,0.300
128,1,0.049,0,0.381,0.381
128,2,0.029,0,0.449,0.224
128,4,0.028,0,0.888,0.222
128,8,0.029,0,1.812,0.227
128,16,0.030,0,3.707,0.232
128,32,0.031,0,7.779,0.243
128,64,0.033,0,16.528,0.258
128,128,0.037,0,37.574,0.293
256,1,0.098,0,0.382,0.382
256,2,0.058,0,0.452,0.226
256,4,0.056,0,0.881,0.220
256,8,0.057,0,1.780,0.222
256,16,0.058,0,3.604,0.225
256,32,0.059,0,7.389,0.231
256,64,0.061,0,15.303,0.239
256,128,0.066,0,33.068,0.258
256,256,0.075,0,75.365,0.294
512,1,0.193,0,0.378,0.378
512,2,0.115,0,0.449,0.225
512,4,0.112,0,0.876,0.219
512,8,0.113,0,1.758,0.220
512,16,0.114,0,3.562,0.223
512,32,0.115,0,7.166,0.224
512,64,0.117,0,14.633,0.229
512,128,0.122,0,30.539,0.238
512,256,0.132,0,65.872,0.257
512,512,0.151,0,151.225,0.295
1024,1,0.386,0,0.377,0.377
1024,2,0.229,0,0.448,0.224
1024,4,0.222,0,0.870,0.217
1024,8,0.225,0,1.756,0.219
1024,16,0.225,0,3.514,0.220
1024,32,0.227,0,7.097,0.222
1024,64,0.230,0,14.385,0.225
1024,128,0.235,0,29.305,0.229
1024,256,0.243,0,60.893,0.238
1024,512,0.262,0,131.154,0.256
1024,1024,0.000,0,0.000,0.000
